year,US_C Rate,country
1985,558.1,United States
1986,620.1,United States
1987,612.5,United States
1988,640.6,United States
1989,666.9,United States
1990,729.6,United States
1991,758.2,United States
1992,757.7,United States
1993,747.1,United States
1994,713.6,United States
1995,684.5,United States
1996,636.6,United States
1997,611,United States
1998,567.6,United States
1999,523,United States
2000,506.5,United States
2001,504.5,United States
2002,494.4,United States
2003,475.8,United States
2004,463.2,United States
2005,469,United States
2006,479.3,United States
2007,471.8,United States
2008,458.6,United States
2009,431.9,United States
2010,404.5,United States
2011,387.1,United States
2012,387.8,United States
2013,369.1,United States
2014,361.6,United States
2015,373.7,United States
2016,397.5,United States
2017,394.9,United States
2018,383.4,United States
2019,380.8,United States
2020,398.5,United States
